Channels:	1
Count:	8641
Start:	2460793.1472222223	04/27/25 15:32:00
End:	2460793.1472222223	04/28/25 15:31:50
Parameters:	4
NonRem	2
REM	3
Unscored	255
Wake	1

Date	Time	Time Stamp	Time from Start	yijan_0_Numeric
04/27/25	16:33:00	0	3660.0	3
04/27/25	16:33:10	0	3670.0	3
04/27/25	16:33:20	0	3680.0	1
04/27/25	16:33:30	0	3690.0	1
04/27/25	16:33:40	0	3700.0	1
04/27/25	16:33:50	0	3710.0	2
04/27/25	16:34:00	0	3720.0	2
04/27/25	16:34:10	0	3730.0	3
04/27/25	16:34:20	0	3740.0	3
04/27/25	16:34:30	0	3750.0	3
04/27/25	16:34:40	0	3760.0	3
04/27/25	16:34:50	0	3770.0	3
04/27/25	16:35:00	0	3780.0	3
04/27/25	16:35:10	0	3790.0	1
04/27/25	16:35:20	0	3800.0	1
04/27/25	16:35:30	0	3810.0	1
04/27/25	16:35:40	0	3820.0	2
04/27/25	16:35:50	0	3830.0	2
04/27/25	16:36:00	0	3840.0	2
04/27/25	16:36:10	0	3850.0	1
04/27/25	16:36:20	0	3860.0	1
04/27/25	16:36:30	0	3870.0	2
04/27/25	16:36:40	0	3880.0	2
04/27/25	16:36:50	0	3890.0	2
04/27/25	16:37:00	0	3900.0	2
04/27/25	16:37:10	0	3910.0	2
04/27/25	16:37:20	0	3920.0	1
04/27/25	16:37:30	0	3930.0	2
04/27/25	16:37:40	0	3940.0	2
04/27/25	16:37:50	0	3950.0	3
04/27/25	16:38:00	0	3960.0	3
04/27/25	16:38:10	0	3970.0	3
04/27/25	16:38:20	0	3980.0	3
04/27/25	16:38:30	0	3990.0	3
04/27/25	16:38:40	0	4000.0	3
04/27/25	16:38:50	0	4010.0	3
04/27/25	16:39:00	0	4020.0	3
04/27/25	16:39:10	0	4030.0	3
04/27/25	16:39:20	0	4040.0	3
04/27/25	16:39:30	0	4050.0	3
04/27/25	16:39:40	0	4060.0	3
04/27/25	16:39:50	0	4070.0	3
04/27/25	16:40:00	0	4080.0	3
04/27/25	16:40:10	0	4090.0	1
04/27/25	16:40:20	0	4100.0	1
04/27/25	16:40:30	0	4110.0	1
04/27/25	16:40:40	0	4120.0	1
04/27/25	16:40:50	0	4130.0	1
04/27/25	16:41:00	0	4140.0	1
04/27/25	16:41:10	0	4150.0	2
04/27/25	16:41:20	0	4160.0	2
04/27/25	16:41:30	0	4170.0	2
04/27/25	16:41:40	0	4180.0	2
04/27/25	16:41:50	0	4190.0	2
04/27/25	16:42:00	0	4200.0	2
04/27/25	16:42:10	0	4210.0	2
04/27/25	16:42:20	0	4220.0	2
04/27/25	16:42:30	0	4230.0	1
04/27/25	16:42:40	0	4240.0	2
04/27/25	16:42:50	0	4250.0	1
04/27/25	16:43:00	0	4260.0	1
04/27/25	16:43:10	0	4270.0	1
04/27/25	16:43:20	0	4280.0	2
04/27/25	16:43:30	0	4290.0	2
04/27/25	16:43:40	0	4300.0	2
04/27/25	16:43:50	0	4310.0	2
04/27/25	16:44:00	0	4320.0	2
04/27/25	16:44:10	0	4330.0	2
04/27/25	16:44:20	0	4340.0	2
04/27/25	16:44:30	0	4350.0	2
04/27/25	16:44:40	0	4360.0	2
04/27/25	16:44:50	0	4370.0	2
04/27/25	16:45:00	0	4380.0	2
04/27/25	16:45:10	0	4390.0	2
04/27/25	16:45:20	0	4400.0	2
04/27/25	16:45:30	0	4410.0	2
04/27/25	16:45:40	0	4420.0	2
04/27/25	16:45:50	0	4430.0	1
04/27/25	16:46:00	0	4440.0	2
04/27/25	16:46:10	0	4450.0	2
04/27/25	16:46:20	0	4460.0	2
04/27/25	16:46:30	0	4470.0	2
04/27/25	16:46:40	0	4480.0	2
04/27/25	16:46:50	0	4490.0	2
04/27/25	16:47:00	0	4500.0	2
04/27/25	16:47:10	0	4510.0	2
04/27/25	16:47:20	0	4520.0	1
04/27/25	16:47:30	0	4530.0	1
04/27/25	16:47:40	0	4540.0	1
04/27/25	16:47:50	0	4550.0	2
04/27/25	16:48:00	0	4560.0	2
04/27/25	16:48:10	0	4570.0	2
04/27/25	16:48:20	0	4580.0	2
04/27/25	16:48:30	0	4590.0	2
04/27/25	16:48:40	0	4600.0	2
04/27/25	16:48:50	0	4610.0	3
04/27/25	16:49:00	0	4620.0	1
04/27/25	16:49:10	0	4630.0	2
04/27/25	16:49:20	0	4640.0	2
04/27/25	16:49:30	0	4650.0	2
04/27/25	16:49:40	0	4660.0	2
04/27/25	16:49:50	0	4670.0	2
04/27/25	16:50:00	0	4680.0	2
04/27/25	16:50:10	0	4690.0	2
04/27/25	16:50:20	0	4700.0	2
04/27/25	16:50:30	0	4710.0	2
04/27/25	16:50:40	0	4720.0	2
04/27/25	16:50:50	0	4730.0	2
04/27/25	16:51:00	0	4740.0	2
04/27/25	16:51:10	0	4750.0	2
04/27/25	16:51:20	0	4760.0	2
04/27/25	16:51:30	0	4770.0	3
04/27/25	16:51:40	0	4780.0	3
04/27/25	16:51:50	0	4790.0	3
04/27/25	16:52:00	0	4800.0	1
04/27/25	16:52:10	0	4810.0	1
04/27/25	16:52:20	0	4820.0	1
04/27/25	16:52:30	0	4830.0	1
04/27/25	16:52:40	0	4840.0	1
04/27/25	16:52:50	0	4850.0	1
04/27/25	16:53:00	0	4860.0	1
04/27/25	16:53:10	0	4870.0	1
04/27/25	16:53:20	0	4880.0	1
04/27/25	16:53:30	0	4890.0	1
04/27/25	16:53:40	0	4900.0	1
04/27/25	16:53:50	0	4910.0	1
04/27/25	16:54:00	0	4920.0	1
04/27/25	16:54:10	0	4930.0	1
04/27/25	16:54:20	0	4940.0	1
04/27/25	16:54:30	0	4950.0	1
04/27/25	16:54:40	0	4960.0	1
04/27/25	16:54:50	0	4970.0	1
04/27/25	16:55:00	0	4980.0	1
04/27/25	16:55:10	0	4990.0	1
04/27/25	16:55:20	0	5000.0	1
04/27/25	16:55:30	0	5010.0	1
